Orthogroup	ncbi	nam
OG0003914	LOC103635205	Zm00001eb341650
OG0003915	LOC100383575	Zm00001eb140420, Zm00001eb132400, Zm00001eb319120
OG0003916	LOC103650244	Zm00001eb132530
OG0003916	LOC111591159	Zm00001eb132520
OG0003917	LOC103635232	Zm00001eb341910
OG0003917	LOC103650368	Zm00001eb132620
OG0003918	LOC100192917	Zm00001eb132890
OG0003918	LOC103640928	Zm00001eb409840
OG0003919	LOC103650405	Zm00001eb164420, Zm00001eb329930, Zm00001eb132990
OG0003920	LOC100281441	Zm00001eb296200, Zm00001eb344010, Zm00001eb133040
OG0003921	LOC100279558	Zm00001eb133200
OG0003921	LOC103655286	Zm00001eb176190
OG0003922	LOC103652111	Zm00001eb133260
OG0003922	LOC103652113	Zm00001eb133270
OG0003923	LOC103650422	Zm00001eb133350
OG0003923	LOC103640871	Zm00001eb408620
OG0003924	LOC100384278	Zm00001eb409870
OG0003924	LOC103650429	Zm00001eb133420
OG0003925	LOC103640934	Zm00001eb409890
OG0003925	LOC103650352	Zm00001eb133580
OG0003926	LOC109945293, LOC109943802, LOC109940605	Zm00001eb133680
OG0003927	LOC100502082	Zm00001eb133780
OG0003927	LOC103641008	Zm00001eb411450
OG0003928	LOC103652817	Zm00001eb429590, Zm00001eb134310, Zm00001eb167760
OG0003929	LOC103650282, LOC103638558, LOC103636853	Zm00001eb134430
OG0003930	LOC100272628	Zm00001eb367760
OG0003930	LOC100285855	Zm00001eb134470
OG0003931	LOC103650275	Zm00001eb134530
OG0003931	LOC100384307	Zm00001eb300350
OG0003932	LOC100384148, LOC118473316, LOC100277293	Zm00001eb134630
OG0003933	LOC100304381	Zm00001eb134730
OG0003933	LOC100283088	Zm00001eb360890
OG0003934	LOC100502192	Zm00001eb181890, Zm00001eb134930, Zm00001eb177470
OG0003935	LOC109939154	Zm00001eb135180, Zm00001eb367080, Zm00001eb309690
OG0003936	LOC103650483	Zm00001eb135790, Zm00001eb135780, Zm00001eb135770
OG0003937	LOC103650493	Zm00001eb135980
OG0003937	LOC103640595	Zm00001eb387900
OG0003938	LOC100285468, LOC103652171, LOC100280619	Zm00001eb136530
OG0003940	LOC103626627	Zm00001eb136680, Zm00001eb310590, Zm00001eb232420
OG0003941	LOC103650557	Zm00001eb137110
OG0003941	LOC100281750	Zm00001eb410060
OG0003942	LOC100285263	Zm00001eb410070
OG0003942	LOC103650558	Zm00001eb137120
OG0003943	LOC100279859	Zm00001eb137140
OG0003943	LOC103640942	Zm00001eb410080
OG0003944	LOC103650561	Zm00001eb137200
OG0003944	LOC103640946	Zm00001eb410120
OG0003945	LOC100274212	Zm00001eb433900, Zm00001eb374970, Zm00001eb137210
OG0003946	LOC103640949	Zm00001eb410220
OG0003946	LOC103650566	Zm00001eb137290
OG0003947	LOC100283794	Zm00001eb137370
OG0003947	LOC100280615	Zm00001eb137430
OG0003948	LOC103650571	Zm00001eb137380
OG0003948	LOC100283929	Zm00001eb137410
OG0003949	LOC100274046	Zm00001eb137480
OG0003949	LOC542349	Zm00001eb137390
OG0003950	LOC100282841	Zm00001eb362330
OG0003950	LOC542159	Zm00001eb137540
OG0003951	LOC103640966	Zm00001eb410550
OG0003951	LOC103650584	Zm00001eb137710
OG0003952	LOC100193006	Zm00001eb137740
OG0003952	LOC100284652	Zm00001eb410630
OG0003953	LOC103640981	Zm00001eb410870
OG0003953	LOC103650586	Zm00001eb137760
OG0003954	LOC103650588	Zm00001eb137800
OG0003954	LOC103640978	Zm00001eb410840
OG0003955	LOC100280056	Zm00001eb410700
OG0003955	LOC103650592	Zm00001eb137870
OG0003956	LOC100276203	Zm00001eb137890
OG0003956	LOC100275340	Zm00001eb264410
OG0003957	LOC103629136	Zm00001eb264470
OG0003957	LOC100286003	Zm00001eb137900
OG0003958	LOC541782	Zm00001eb264630
OG0003958	LOC100281636	Zm00001eb137920
OG0003959	LOC100273587	Zm00001eb137960, Zm00001eb264710, Zm00001eb264700
OG0003960	LOC103650596	Zm00001eb138000
OG0003960	LOC100274053	Zm00001eb264730
OG0003961	LOC100281507	Zm00001eb138040
OG0003961	LOC100191937	Zm00001eb264780
OG0003962	LOC118476703	Zm00001eb138180, Zm00001eb424800, Zm00001eb424070
OG0003963	LOC541710	Zm00001eb138190
OG0003963	LOC541709	Zm00001eb325310
OG0003964	LOC100191710	Zm00001eb138210
OG0003964	LOC100217002	Zm00001eb409630
OG0003965	LOC100283897	Zm00001eb411150
OG0003965	LOC100283100	Zm00001eb138270
OG0003966	LOC103650610	Zm00001eb138350
OG0003966	LOC100174972	Zm00001eb138340
OG0003967	LOC542326	Zm00001eb411130
OG0003967	LOC542325	Zm00001eb138380
OG0003968	LOC103640226	Zm00001eb138400
OG0003968	LOC103655474	Zm00001eb182180
OG0003969	LOC100283010	Zm00001eb411050
OG0003969	LOC541810	Zm00001eb138410
OG0003970	LOC100279192	Zm00001eb409170
OG0003970	LOC103650622	Zm00001eb138590
OG0003971	LOC100383366	Zm00001eb409200
OG0003971	LOC100501283	Zm00001eb138630
OG0003972	LOC100286270	Zm00001eb138660, Zm00001eb369440, Zm00001eb369450
OG0003973	LOC100192900	Zm00001eb138800
OG0003973	LOC100274483	Zm00001eb408460
OG0003974	LOC103650640	Zm00001eb138870
OG0003974	LOC103633589	Zm00001eb331190
OG0003975	LOC103652238	Zm00001eb139340, Zm00001eb143330, Zm00001eb139320
OG0003976	LOC103650663	Zm00001eb139350
OG0003976	LOC103640811	Zm00001eb407590
OG0003977	LOC103650665	Zm00001eb139410
OG0003977	LOC100384591	Zm00001eb407660
OG0003978	LOC100285203	Zm00001eb139460
OG0003978	LOC100273787	Zm00001eb407550
OG0003979	LOC100285282	Zm00001eb407530
OG0003979	LOC100193330	Zm00001eb139480
OG0003980	LOC103640790	Zm00001eb407240
OG0003980	LOC103650673	Zm00001eb139520
OG0003981	LOC103636256	Zm00001eb362130
OG0003981	LOC103650681	Zm00001eb139670
OG0003982	LOC100381463	Zm00001eb362180
OG0003982	LOC100273004	Zm00001eb139680
OG0003983	LOC100285575	Zm00001eb362140
OG0003983	LOC100284791	Zm00001eb139760
OG0003984	LOC100193771	Zm00001eb362270
OG0003984	LOC100303930	Zm00001eb139890
OG0003985	LOC100502226	Zm00001eb140100, Zm00001eb356090, Zm00001eb301970
OG0003986	LOC100282859	Zm00001eb140160
OG0003986	LOC100217180	Zm00001eb362410
OG0003987	LOC100273880	Zm00001eb140280
OG0003987	LOC103639462	Zm00001eb400730
OG0003988	LOC100194341	Zm00001eb140290
OG0003988	LOC100192761	Zm00001eb140320
OG0003989	LOC100286375	Zm00001eb140330
OG0003989	LOC100273505	Zm00001eb362490
OG0003990	LOC541626	Zm00001eb140530
OG0003990	LOC100282643	Zm00001eb362640
OG0003991	LOC100384143	Zm00001eb362650
OG0003991	LOC100216746	Zm00001eb140560
OG0003992	LOC100285591	Zm00001eb140570
OG0003992	LOC100281602	Zm00001eb362660
OG0003993	LOC103636274	Zm00001eb362700
OG0003993	LOC100272467	Zm00001eb140590
OG0003994	LOC103626025	Zm00001eb349340, Zm00001eb140750, Zm00001eb361440
OG0003995	LOC103636281	Zm00001eb362840
OG0003995	LOC100280426	Zm00001eb140790
OG0003996	LOC100273789	Zm00001eb140890
OG0003996	LOC100279855	Zm00001eb362860
OG0003997	LOC100382013	Zm00001eb359020, Zm00001eb279400, Zm00001eb140930
OG0003998	LOC100285224	Zm00001eb141420
OG0003998	LOC100193201	Zm00001eb363160
OG0003999	LOC100272379	Zm00001eb141500, Zm00001eb397970, Zm00001eb141490
OG0004000	LOC103650768	Zm00001eb141560
OG0004000	LOC103636300	Zm00001eb363200
OG0004001	LOC542056	Zm00001eb363220
OG0004001	LOC542507	Zm00001eb141570
OG0004003	LOC115804241, LOC118476713, LOC118476811	Zm00001eb141680
OG0004004	LOC103650775	Zm00001eb141690
OG0004004	LOC103636305	Zm00001eb363270
OG0004005	LOC103650782	Zm00001eb141770
OG0004005	LOC103650784	Zm00001eb141810
OG0004006	LOC541700	Zm00001eb268830
OG0004006	LOC541699	Zm00001eb141930
OG0004007	LOC100194395	Zm00001eb363480
OG0004007	LOC103650800	Zm00001eb142190
OG0004008	LOC103636319	Zm00001eb363540
OG0004008	LOC100381718	Zm00001eb142310
OG0004009	LOC100279553	Zm00001eb142510
OG0004009	LOC103628892	Zm00001eb257150
OG0004010	LOC100273501	Zm00001eb363810
OG0004010	LOC100274571	Zm00001eb142540
OG0004011	LOC100383674	Zm00001eb142610
OG0004011	LOC542089	Zm00001eb363830
OG0004012	LOC100284080	Zm00001eb363880
OG0004012	LOC100284307	Zm00001eb142730
OG0004013	LOC103636333	Zm00001eb363910
OG0004013	LOC103650822	Zm00001eb142750
OG0004014	LOC103650821	Zm00001eb142760
OG0004014	LOC100275348	Zm00001eb363920
OG0004015	LOC103639494	Zm00001eb401590, Zm00001eb142910, Zm00001eb142890
OG0004016	LOC732797	Zm00001eb142950
OG0004016	LOC103636340	Zm00001eb364100
OG0004017	LOC103636344	Zm00001eb364210
OG0004017	LOC100193727	Zm00001eb143020
OG0004018	LOC100273720	Zm00001eb364290
OG0004018	LOC100279329	Zm00001eb143070
OG0004019	LOC100501731	Zm00001eb364370
OG0004019	LOC100273107	Zm00001eb143150
OG0004020	LOC100281827, LOC103651859, LOC100282876	Zm00001eb143170
OG0004021	LOC100274743	Zm00001eb143180
OG0004021	LOC103636348	Zm00001eb364390
OG0004022	LOC100279900	Zm00001eb364470
OG0004022	LOC100383931	Zm00001eb143240
OG0004023	LOC100192652	Zm00001eb364580
OG0004023	LOC100191672	Zm00001eb143300
OG0004024	LOC103650849	Zm00001eb143360
OG0004024	LOC542711	Zm00001eb364620
OG0004025	LOC103650852	Zm00001eb143420, Zm00001eb364710, Zm00001eb364720
OG0004026	LOC100283646	Zm00001eb364730
OG0004026	LOC100194377	Zm00001eb143430
OG0004027	LOC100283020	Zm00001eb170900, Zm00001eb423770, Zm00001eb143470
OG0004028	LOC100281228	Zm00001eb364840
OG0004028	LOC100285758	Zm00001eb143510
OG0004029	LOC103636371	Zm00001eb365010
OG0004029	LOC103650859	Zm00001eb143670
OG0004030	LOC100273881	Zm00001eb143710
OG0004030	LOC100279928	Zm00001eb365020
OG0004031	LOC118473872	Zm00001eb438070, Zm00001eb143730, Zm00001eb406240
OG0004032	LOC100322876	Zm00001eb261140, Zm00001eb143800, Zm00001eb424530
OG0004033	LOC541932	Zm00001eb143960
OG0004033	LOC103636373	Zm00001eb365080
OG0004034	LOC100284682	Zm00001eb143990, Zm00001eb255020, Zm00001eb255000
OG0004035	LOC100272949	Zm00001eb365360
OG0004035	LOC100191670	Zm00001eb144160
OG0004036	LOC542261	Zm00001eb144240
OG0004036	LOC100272913	Zm00001eb365200
OG0004037	LOC100285939	Zm00001eb144290
OG0004037	LOC103636390	Zm00001eb365420
OG0004038	LOC100281096	Zm00001eb365530
OG0004038	LOC100272650	Zm00001eb144330
OG0004039	LOC100274306	Zm00001eb144360
OG0004039	LOC103636397	Zm00001eb365560
OG0004040	LOC100384162	Zm00001eb144420
OG0004040	LOC100191367	Zm00001eb365600
OG0004041	LOC103650877	Zm00001eb144430
OG0004041	LOC100383455	Zm00001eb365610
OG0004042	LOC103636402	Zm00001eb365670
OG0004042	LOC100383357	Zm00001eb144600
OG0004043	LOC100381862	Zm00001eb365690
OG0004043	LOC100280071	Zm00001eb144630
OG0004044	LOC100277214	Zm00001eb144800
OG0004044	LOC100192825	Zm00001eb365730
OG0004045	LOC100191375	Zm00001eb144840
OG0004045	LOC100192628	Zm00001eb365760
OG0004046	LOC100502178	Zm00001eb365810
OG0004046	LOC542107	Zm00001eb144910
OG0004047	lox2	Zm00001eb144960, Zm00001eb236430, Zm00001eb144930
OG0004048	LOC100280516	Zm00001eb145320
OG0004048	LOC100217272	Zm00001eb365940
OG0004049	LOC103636414	Zm00001eb365960
OG0004049	LOC100272499	Zm00001eb145390
OG0004050	LOC100277253	Zm00001eb145400
OG0004050	LOC100272571	Zm00001eb365980
OG0004051	LOC118474965	Zm00001eb441240
OG0004051	LOC100280906	Zm00001eb145470
OG0004052	LOC100278407	Zm00001eb145530
OG0004052	LOC100275452	Zm00001eb366040
OG0004053	LOC100276935	Zm00001eb366090
OG0004053	LOC107521947	Zm00001eb145600
OG0004054	LOC103650918	Zm00001eb145640, Zm00001eb366130, Zm00001eb366110
OG0004055	LOC100282656	Zm00001eb349050
OG0004055	LOC100274520	Zm00001eb145670
OG0004056	LOC100193311	Zm00001eb145810
OG0004056	LOC100272808	Zm00001eb366250
OG0004057	pco060792	Zm00001eb366290
OG0004057	LOC103650928	Zm00001eb145870
OG0004058	LOC100383984	Zm00001eb366310
OG0004058	LOC100382244	Zm00001eb145880
OG0004059	LOC103650932	Zm00001eb145950
OG0004059	LOC103636431	Zm00001eb366360
OG0004060	LOC103650935	Zm00001eb145970
OG0004060	LOC100502541	Zm00001eb366390
OG0004061	LOC100192790	Zm00001eb146070
OG0004061	LOC100282402	Zm00001eb366410
OG0004062	LOC100280411	Zm00001eb146190, Zm00001eb366480, Zm00001eb366510
OG0004063	LOC100278408	Zm00001eb146270
OG0004063	LOC103636441	Zm00001eb366560
OG0004064	LOC100276531	Zm00001eb146400
OG0004064	LOC100274472	Zm00001eb348660
OG0004065	LOC100283355	Zm00001eb366580
OG0004065	LOC100384828	Zm00001eb146420
OG0004066	LOC103650953	Zm00001eb146520
OG0004066	LOC101027124	Zm00001eb366620
OG0004067	LOC103636968	Zm00001eb147280, Zm00001eb146640, Zm00001eb342560
OG0004068	LOC100193368	Zm00001eb146660
OG0004068	LOC100191373	Zm00001eb366660
OG0004069	LOC100281275	Zm00001eb366670
OG0004069	LOC100284081	Zm00001eb146670
OG0004070	LOC100273498	Zm00001eb146710
OG0004070	LOC100284056	Zm00001eb366700
OG0004071	LOC100282605	Zm00001eb366710
OG0004071	LOC100284621	Zm00001eb146760
OG0004072	LOC100281284	Zm00001eb146840
OG0004072	LOC103650968	Zm00001eb146850
OG0004073	LOC103650974	Zm00001eb147050
OG0004073	LOC100194251	Zm00001eb366800
OG0004074	LOC100279952, LOC100283045, LOC100384311	Zm00001eb147110
OG0004075	LOC541670	Zm00001eb147220
OG0004075	LOC103636459	Zm00001eb366880
OG0004076	LOC100284117	Zm00001eb366890
OG0004076	LOC100284443	Zm00001eb147230
OG0004077	LOC109944873	Zm00001eb147290
OG0004077	LOC100285513	Zm00001eb366950
OG0004078	LOC100193702	Zm00001eb288800
OG0004078	LOC100285200	Zm00001eb147480
OG0004079	LOC100275225	Zm00001eb147530
OG0004079	LOC100275415	Zm00001eb367150
OG0004080	LOC100192044	Zm00001eb147560
OG0004080	LOC100273463	Zm00001eb367160
OG0004081	LOC100285433	Zm00001eb147650
OG0004081	LOC103636474	Zm00001eb367240
OG0004082	LOC100382859	Zm00001eb367310
OG0004082	LOC100281510	Zm00001eb147720
OG0004083	LOC100217015	Zm00001eb367430
OG0004083	LOC103651003	Zm00001eb147740
OG0004084	LOC100273270	Zm00001eb147810
OG0004084	LOC100283523	Zm00001eb367490
OG0004085	LOC100216799	Zm00001eb367670
OG0004085	LOC100382910	Zm00001eb147900
OG0004086	LOC100275267	Zm00001eb367790
OG0004086	LOC100383633	Zm00001eb148060
OG0004087	LOC109939900	Zm00001eb221510
OG0004087	LOC118476818	Zm00001eb148090
OG0004088	LOC100281537	Zm00001eb367830
OG0004088	LOC100382186	Zm00001eb148100
OG0004089	LOC100282657	Zm00001eb148130
OG0004089	LOC103636504	Zm00001eb367840
OG0004090	LOC103655133	Zm00001eb148200, Zm00001eb261730, Zm00001eb346530
OG0004091	LOC100280258	Zm00001eb367900
OG0004091	LOC732787	Zm00001eb148280
OG0004092	LOC100285081	Zm00001eb148320
OG0004092	LOC100382779	Zm00001eb367870
OG0004093	LOC103651026	Zm00001eb148360
OG0004093	LOC100193769	Zm00001eb367960
OG0004094	LOC100273491	Zm00001eb148540
OG0004094	LOC100273745	Zm00001eb368020
OG0004095	LOC103636518	Zm00001eb368100
OG0004095	LOC100284854	Zm00001eb148640
OG0004096	LOC103636521	Zm00001eb368150
OG0004096	LOC100272830	Zm00001eb148690
OG0004097	LOC100278788	Zm00001eb148720
OG0004097	LOC103636522	Zm00001eb368160
OG0004098	LOC103636524	Zm00001eb368190
OG0004098	LOC103651040	Zm00001eb148740
OG0004099	LOC103651041	Zm00001eb148750
OG0004099	LOC114711031	Zm00001eb351600
OG0004100	LOC103651046	Zm00001eb148880
OG0004100	LOC100279467	Zm00001eb368280
OG0004101	LOC103635453	Zm00001eb148970, Zm00001eb403490, Zm00001eb345700
OG0004102	LOC100383409	Zm00001eb149160
OG0004102	LOC100280849	Zm00001eb368560
OG0004103	LOC100282094	Zm00001eb149240
OG0004103	LOC100502492	Zm00001eb368580
OG0004104	LOC100191628	Zm00001eb149820, Zm00001eb441710, Zm00001eb149270
OG0004105	LOC100274739	Zm00001eb149280
OG0004105	LOC118475109	Zm00001eb441690
OG0004106	LOC100279301, LOC118475108	Zm00001eb441670, Zm00001eb149300
OG0004107	LOC103642270	Zm00001eb406580, Zm00001eb149410, Zm00001eb406710
OG0004108	LOC103651059	Zm00001eb149420
OG0004108	LOC103636544	Zm00001eb368740
OG0004109	LOC100192107	Zm00001eb368810
OG0004109	LOC100278902	Zm00001eb149510
OG0004110	LOC100279852	Zm00001eb368920
OG0004110	LOC103651067	Zm00001eb149610
OG0004111	LOC100193725	Zm00001eb149690
OG0004111	LOC100282401	Zm00001eb368980
OG0004112	LOC103633526	Zm00001eb149700, Zm00001eb328240, Zm00001eb329770
OG0004113	LOC100277380	Zm00001eb369030
OG0004113	LOC100381807	Zm00001eb149760
OG0004114	LOC100194388	Zm00001eb149770
OG0004114	LOC100285297	Zm00001eb369040
OG0004115	LOC103630517	Zm00001eb291070
OG0004115	LOC103651078	Zm00001eb149780
OG0004116	LOC100191871	Zm00001eb369140
OG0004116	LOC103651086	Zm00001eb149970
OG0004117	LOC100276764	Zm00001eb369170
OG0004117	LOC100383393	Zm00001eb150040
OG0004118	LOC103651090	Zm00001eb150100
OG0004118	LOC109944880	Zm00001eb150130
OG0004119	LOC100282767	Zm00001eb150320
OG0004119	LOC100284358	Zm00001eb369250
OG0004120	LOC103651095	Zm00001eb150340
OG0004120	LOC103636568	Zm00001eb369270
OG0004121	LOC103651119	Zm00001eb150950
OG0004121	LOC103652446	Zm00001eb150910
OG0004122	LOC103636583	Zm00001eb369640
OG0004122	LOC100502180	Zm00001eb151040
OG0004123	LOC100285601	Zm00001eb352760, Zm00001eb291970, Zm00001eb151280
OG0004124	LOC103636588	Zm00001eb369770
OG0004124	LOC100382315	Zm00001eb151300
OG0004125	LOC100274336	Zm00001eb151430
OG0004125	LOC103636591	Zm00001eb369830
OG0004126	LOC103651140	Zm00001eb151450
OG0004126	LOC100284642	Zm00001eb369840
OG0004127	LOC100276826	Zm00001eb151460
OG0004127	LOC100273310	Zm00001eb369850
OG0004128	LOC103627864	Zm00001eb369910, Zm00001eb151500, Zm00001eb234340
OG0004129	LOC103651144	Zm00001eb151510
OG0004129	LOC103636601	Zm00001eb369900
OG0004130	LOC100272491	Zm00001eb151530
OG0004130	LOC100382109	Zm00001eb167320
OG0004131	LOC100279781	Zm00001eb151630
OG0004131	LOC103636602	Zm00001eb369950
OG0004132	LOC103636603	Zm00001eb369960
OG0004132	LOC100277346	Zm00001eb151640
OG0004133	LOC100272805, LOC100526752	Zm00001eb151670, Zm00001eb370000
OG0004134	LOC100383666	Zm00001eb370110
OG0004134	LOC100382102	Zm00001eb151770
OG0004135	LOC100274376	Zm00001eb370100
OG0004135	LOC100502496	Zm00001eb151790
OG0004136	LOC100283591	Zm00001eb370050
OG0004136	LOC100381842	Zm00001eb151870
OG0004137	LOC100381627	Zm00001eb152020
OG0004137	LOC103636612	Zm00001eb370130
OG0004138	LOC100283909	Zm00001eb370140
OG0004138	LOC100384288	Zm00001eb152040
OG0004139	LOC100194240	Zm00001eb152120
OG0004139	LOC100285907	Zm00001eb370210
OG0004141	LOC100274074	Zm00001eb370290
OG0004141	LOC100381446	Zm00001eb152190
OG0004142	LOC100278693	Zm00001eb370380
OG0004142	LOC100274836	Zm00001eb152340
OG0004143	LOC103636625	Zm00001eb370470
OG0004143	LOC100383445	Zm00001eb152420
OG0004144	LOC103651184	Zm00001eb152460, Zm00001eb370510, Zm00001eb370500
OG0004145	LOC100283832	Zm00001eb152490
OG0004145	LOC103636629	Zm00001eb370530
OG0004146	LOC541785	Zm00001eb152500
OG0004146	LOC103636630	Zm00001eb370540
OG0004147	LOC100283081	Zm00001eb152530
OG0004147	LOC100191514	Zm00001eb370560
OG0004148	LOC103642390	Zm00001eb411850
OG0004148	LOC100274878	Zm00001eb152580
OG0004149	LOC100284438	Zm00001eb152600
OG0004149	LOC100194409	Zm00001eb370580
OG0004150	LOC100282523	Zm00001eb152680
OG0004150	LOC100193968	Zm00001eb370650
OG0004151	LOC100281876	Zm00001eb370660
OG0004151	LOC103651195	Zm00001eb152710
OG0004152	LOC100276100	Zm00001eb152750
OG0004152	LOC100276367	Zm00001eb370700
OG0004153	LOC100383168	Zm00001eb152940
OG0004153	LOC100502387	Zm00001eb370810
OG0004154	LOC100279881	Zm00001eb152990
OG0004154	LOC100217123	Zm00001eb293760
OG0004155	LOC100193595	Zm00001eb371030
OG0004155	LOC100191459	Zm00001eb153090
OG0004156	LOC100381712	Zm00001eb153200
OG0004156	LOC100283592	Zm00001eb371010
OG0004157	LOC100283972	Zm00001eb153260
OG0004157	LOC103638307	Zm00001eb381180
OG0004158	LOC103636650	Zm00001eb370980
OG0004158	LOC100273124	Zm00001eb153320
OG0004159	LOC103641705	Zm00001eb423620, Zm00001eb157220, Zm00001eb153390
OG0004160	LOC100285155	Zm00001eb370850
OG0004160	LOC100280171	Zm00001eb153520
OG0004161	LOC103636659	Zm00001eb371090
OG0004161	LOC100382765	Zm00001eb153530
OG0004162	LOC541865	Zm00001eb371130
OG0004162	LOC103651216	Zm00001eb153560
OG0004163	LOC103636668	Zm00001eb371240
OG0004163	LOC100501789	Zm00001eb153840
OG0004164	LOC100280209	Zm00001eb153980
OG0004164	LOC100194290	Zm00001eb371320
OG0004165	LOC100037794	Zm00001eb154010
OG0004165	LOC100101532	Zm00001eb293430
OG0004166	rpl20	Zm00001eb154030
OG0004166	LOC100280565	Zm00001eb353650
OG0004167	LOC103651238	Zm00001eb154140
OG0004167	LOC103636253	Zm00001eb361980
OG0004168	LOC100276848	Zm00001eb154220
OG0004168	LOC103636252	Zm00001eb361900
OG0004169	LOC103651203	Zm00001eb293890
OG0004169	LOC107403152	Zm00001eb154350
OG0004170	LOC103651251	Zm00001eb154460, Zm00001eb226080, Zm00001eb420840
OG0004171	LOC100501808	Zm00001eb161290
OG0004171	LOC100382383	Zm00001eb154620
OG0004172	LOC100127013	Zm00001eb361610
OG0004172	LOC100192583	Zm00001eb154640
OG0004173	LOC100282553	Zm00001eb154710
OG0004173	LOC103651256	Zm00001eb154690
OG0004174	LOC103642983	Zm00001eb154730
OG0004174	LOC103636232	Zm00001eb361520
OG0004175	LOC100193403	Zm00001eb361500
OG0004175	LOC100191711	Zm00001eb154850
OG0004176	LOC103651267	Zm00001eb155000
OG0004176	LOC103636230	Zm00001eb361450
OG0004177	LOC103637423	Zm00001eb361410
OG0004177	LOC100216838	Zm00001eb155010
OG0004178	LOC100191888	Zm00001eb155110, Zm00001eb155100, Zm00001eb336870
OG0004179	LOC542087	Zm00001eb155150
OG0004179	LOC541934	Zm00001eb361300
OG0004180	LOC100216812	Zm00001eb361220
OG0004180	LOC100273747	Zm00001eb155250
OG0004181	LOC100282444	Zm00001eb155270
OG0004181	LOC100283890	Zm00001eb361210
OG0004182	LOC100304432	Zm00001eb155320
OG0004182	LOC100285766	Zm00001eb361170
OG0004183	LOC100382382	Zm00001eb155350
OG0004183	LOC103636220	Zm00001eb361150
OG0004184	LOC100273331	Zm00001eb155420
OG0004184	LOC100276635	Zm00001eb361120
OG0004185	LOC100273420	Zm00001eb155590
OG0004185	LOC100192004	Zm00001eb361070
OG0004186	LOC103651287	Zm00001eb155600, Zm00001eb306500, Zm00001eb262880
OG0004187	LOC100285775	Zm00001eb360710
OG0004187	LOC100281993	Zm00001eb156060
OG0004188	LOC118471889	Zm00001eb156150
OG0004188	LOC100856957	Zm00001eb156190
OG0004189	LOC100274310	Zm00001eb156210
OG0004189	LOC100382798	Zm00001eb360690
OG0004190	LOC100384436	Zm00001eb156250
OG0004190	LOC100273535	Zm00001eb360620
OG0004191	LOC100285590	Zm00001eb360610
OG0004191	LOC103651323	Zm00001eb156260
OG0004192	LOC103651324	Zm00001eb156300
OG0004192	LOC541975	Zm00001eb360580
OG0004193	LOC100193632	Zm00001eb156320
OG0004193	LOC100274560	Zm00001eb348930
OG0004194	LOC100274030	Zm00001eb156340
OG0004194	LOC100279742	Zm00001eb360540
OG0004195	LOC100382477	Zm00001eb360490
OG0004195	LOC100283437	Zm00001eb156560
OG0004196	LOC103651345	Zm00001eb156570
OG0004196	LOC100274052	Zm00001eb267390
OG0004198	LOC100286233	Zm00001eb156710
OG0004198	LOC100285251	Zm00001eb360430
OG0004199	LOC100501698	Zm00001eb156730
OG0004199	LOC103636179	Zm00001eb360400
OG0004200	LOC103651353	Zm00001eb156740
OG0004200	LOC100193454	Zm00001eb360390
OG0004201	LOC100193604	Zm00001eb360360
OG0004201	LOC100273869	Zm00001eb156780
OG0004202	LOC100193706	Zm00001eb360160
OG0004202	LOC100284076	Zm00001eb157040
OG0004203	LOC103642085	Zm00001eb431410
OG0004203	LOC103640801	Zm00001eb157050
OG0004204	LOC100381560	Zm00001eb360130
OG0004204	LOC100285713	Zm00001eb157070
OG0004205	LOC100279197	Zm00001eb360110
OG0004205	LOC100304258	Zm00001eb157090
OG0004206	LOC103637397	Zm00001eb359830
OG0004206	LOC100193085	Zm00001eb157350
OG0004207	LOC100274700	Zm00001eb359670
OG0004207	LOC103651392	Zm00001eb157570
OG0004208	LOC100191159	Zm00001eb157580
OG0004208	LOC103636139	Zm00001eb359640
OG0004209	LOC103636131	Zm00001eb359440
OG0004209	LOC103651410	Zm00001eb158050
OG0004210	LOC100384414	Zm00001eb158110
OG0004210	LOC103637390	Zm00001eb359400
OG0004211	LOC100275201	Zm00001eb158120, Zm00001eb344290, Zm00001eb296490
OG0004212	LOC103651421	Zm00001eb158330
OG0004212	LOC103636125	Zm00001eb359340
OG0004213	LOC542452	Zm00001eb359320
OG0004213	LOC103651425	Zm00001eb158420
OG0004214	LOC100281461	Zm00001eb158490
OG0004214	LOC103637385	Zm00001eb359310
OG0004215	LOC103630767	Zm00001eb296630, Zm00001eb158620, Zm00001eb296670
OG0004216	LOC100381637	Zm00001eb359220
OG0004216	LOC100194330	Zm00001eb158770
OG0004217	LOC100193433	Zm00001eb158830
OG0004217	LOC103636117	Zm00001eb359140
OG0004218	LOC103636116	Zm00001eb359110
OG0004218	LOC103651450	Zm00001eb158860
OG0004219	LOC100284545	Zm00001eb158930
OG0004219	LOC100282388	Zm00001eb359080
OG0004220	LOC100382138	Zm00001eb358940
OG0004220	LOC100382183	Zm00001eb159140
OG0004221	LOC100217089	Zm00001eb358930
OG0004221	LOC542745	Zm00001eb159150
OG0004222	LOC100384168	Zm00001eb159160
OG0004222	LOC100216556	Zm00001eb358910
OG0004223	LOC100381584	Zm00001eb358870
OG0004223	LOC100283041	Zm00001eb159200
OG0004224	LOC100273181	Zm00001eb159250
OG0004224	LOC103636106	Zm00001eb358860
OG0004225	LOC100272761	Zm00001eb159320
OG0004225	LOC100384816	Zm00001eb358770
OG0004226	LOC100282745	Zm00001eb159420
OG0004226	LOC103636097	Zm00001eb358660
OG0004227	LOC103651473	Zm00001eb159430
