Orthogroup	nam	ncbi
OG0001424	Zm00001eb013840	LOC100279843
OG0001424	Zm00001eb331470, Zm00001eb111910	LOC100193364
OG0001425	Zm00001eb013970, Zm00001eb265340, Zm00001eb312720, Zm00001eb396540	LOC103634523
OG0001426	Zm00001eb396200, Zm00001eb014560, Zm00001eb396270, Zm00001eb396240	LOC103634552
OG0001428	Zm00001eb014730	LOC541955
OG0001428	Zm00001eb396070	LOC109943505, LOC542659
OG0001429	Zm00001eb014980	LOC100274900
OG0001429	Zm00001eb336960, Zm00001eb122320	LOC100303849
OG0001430	Zm00001eb015350, Zm00001eb401670	LOC109942654
OG0001430	Zm00001eb101080	LOC103634599
OG0001431	Zm00001eb015700	LOC100384253
OG0001431	Zm00001eb123480, Zm00001eb395300	LOC100381877
OG0001432	Zm00001eb015990	LOC100383379
OG0001432	Zm00001eb032180, Zm00001eb395150	LOC100273998
OG0001433	Zm00001eb016290	LOC542091
OG0001433	Zm00001eb016250, Zm00001eb353620	LOC103634623
OG0001434	Zm00001eb394970	LOC100272715
OG0001434	Zm00001eb016420	LOC100273280, LOC100191792
OG0001435	Zm00001eb370460, Zm00001eb016710, Zm00001eb278860, Zm00001eb245900	LOC103636624
OG0001436	Zm00001eb016920	LOC100284904, LOC103644650, LOC100383913, LOC103639137
OG0001437	Zm00001eb394530	LOC100381586
OG0001437	Zm00001eb328930, Zm00001eb017170	LOC109943421
OG0001438	Zm00001eb017200	LOC100284357
OG0001438	Zm00001eb117420, Zm00001eb118990	LOC103654996
OG0001439	Zm00001eb017290	LOC103635065
OG0001439	Zm00001eb126050, Zm00001eb394480	LOC100384635
OG0001440	Zm00001eb017430	LOC103644661
OG0001440	Zm00001eb277440, Zm00001eb394410	LOC103639119
OG0001441	Zm00001eb184360, Zm00001eb020210, Zm00001eb017470, Zm00001eb409670	LOC109939378
OG0001442	Zm00001eb017480, Zm00001eb020220, Zm00001eb409660, Zm00001eb316150	LOC100191829
OG0001444	Zm00001eb023140	LOC100502349
OG0001444	Zm00001eb391540, Zm00001eb018590	LOC100273607
OG0001446	Zm00001eb019180, Zm00001eb249000, Zm00001eb192190, Zm00001eb266900	LOC103644703
OG0001447	Zm00001eb019230	LOC100284994
OG0001447	Zm00001eb281060, Zm00001eb229690	LOC103626516
OG0001448	Zm00001eb415400	LOC100216706
OG0001448	Zm00001eb019660, Zm00001eb172110	LOC100502388
OG0001449	Zm00001eb060130	LOC100191430
OG0001449	Zm00001eb020270, Zm00001eb213260	LOC100304417
OG0001450	Zm00001eb199220	LOC100192776
OG0001450	Zm00001eb199210, Zm00001eb020450	LOC100275610
OG0001451	Zm00001eb020930, Zm00001eb094070, Zm00001eb203010, Zm00001eb337770	LOC100856985
OG0001452	Zm00001eb156390, Zm00001eb021100, Zm00001eb343430, Zm00001eb354900	LOC103636987
OG0001453	Zm00001eb404660	LOC100282935
OG0001453	Zm00001eb044430, Zm00001eb021210	LOC100217311
OG0001454	Zm00001eb042060, Zm00001eb251850, Zm00001eb021370, Zm00001eb360050	LOC103643309
OG0001455	Zm00001eb144870, Zm00001eb284670, Zm00001eb023200	LOC109943657, LOC103634492
OG0001457	Zm00001eb023450	LOC103637660
OG0001457	Zm00001eb391390, Zm00001eb391380	LOC109942339
OG0001458	Zm00001eb391000	LOC100191842
OG0001458	Zm00001eb196570, Zm00001eb023740	LOC100279482
OG0001459	Zm00001eb068620	LOC103645852
OG0001459	Zm00001eb432020, Zm00001eb024000	LOC103642120
OG0001460	Zm00001eb390730	LOC103638908
OG0001460	Zm00001eb024020	LOC100382066, LOC103637679
OG0001462	Zm00001eb390490	LOC100502456
OG0001462	Zm00001eb024450	LOC100501750, LOC100194368
OG0001463	Zm00001eb422490, Zm00001eb024580, Zm00001eb174410, Zm00001eb402130	LOC100276789
OG0001466	Zm00001eb025230, Zm00001eb046780, Zm00001eb040090, Zm00001eb180090	LOC103637746
OG0001467	Zm00001eb322070	LOC118471908
OG0001467	Zm00001eb025370, Zm00001eb322100	LOC103633197
OG0001468	Zm00001eb272710	LOC100279766
OG0001468	Zm00001eb025520, Zm00001eb227400	LOC100285952
OG0001469	Zm00001eb382760, Zm00001eb025680, Zm00001eb025930, Zm00001eb339600	LOC103636852
OG0001470	Zm00001eb222410, Zm00001eb110410, Zm00001eb025810, Zm00001eb421050	LOC103628114
OG0001471	Zm00001eb318560	LOC100381797
OG0001471	Zm00001eb026170, Zm00001eb102920	LOC109944062
OG0001472	Zm00001eb221190	LOC100277427
OG0001472	Zm00001eb026480, Zm00001eb045250	LOC606398
OG0001473	Zm00001eb026940	LOC542316
OG0001473	Zm00001eb377870	LOC103631112, LOC732811
OG0001474	Zm00001eb027940, Zm00001eb375100, Zm00001eb375050, Zm00001eb375060	LOC100285776
OG0001475	Zm00001eb176850	LOC732827
OG0001475	Zm00001eb028060	LOC103634274, LOC100303991
OG0001476	Zm00001eb137020	LOC100273314
OG0001476	Zm00001eb384000, Zm00001eb028390	LOC100192955
OG0001477	Zm00001eb190100, Zm00001eb137000	LOC100273978
OG0001477	Zm00001eb028400	LOC542504
OG0001478	Zm00001eb028690	LOC100276014
OG0001478	Zm00001eb418900, Zm00001eb224320	LOC103650593
OG0001479	Zm00001eb136710	LOC111590164
OG0001479	Zm00001eb028810	LOC100273435, LOC100191234
OG0001481	Zm00001eb299860, Zm00001eb338090, Zm00001eb164280, Zm00001eb029750	LOC100281387
OG0001482	Zm00001eb029860	LOC103640480
OG0001482	Zm00001eb029880	LOC103640438, LOC103640481
OG0001484	Zm00001eb214400	LOC109939612
OG0001484	Zm00001eb030200, Zm00001eb214390	LOC103625868
OG0001485	Zm00001eb030210	LOC100381786, LOC103648431
OG0001485	Zm00001eb170020	LOC100192461
OG0001487	Zm00001eb030450, Zm00001eb315950	LOC100502239
OG0001487	Zm00001eb101420	LOC100194004
OG0001488	Zm00001eb030840	LOC103640535
OG0001488	Zm00001eb069060, Zm00001eb030800	LOC109939213
OG0001489	Zm00001eb359620	LOC100273266
OG0001489	Zm00001eb030940, Zm00001eb157650	LOC100280542
OG0001490	Zm00001eb030950	LOC103645037
OG0001490	Zm00001eb135380, Zm00001eb224820	LOC100502244
OG0001491	Zm00001eb031860, Zm00001eb209810, Zm00001eb224240, Zm00001eb198590	LOC103656046
OG0001492	Zm00001eb147430, Zm00001eb429780, Zm00001eb031960, Zm00001eb375540	LOC100280706
OG0001493	Zm00001eb032070	LOC111590554, LOC109943468, LOC109943469, LOC100383747
OG0001494	Zm00001eb401950, Zm00001eb401930, Zm00001eb401970, Zm00001eb032770	LOC103640847
OG0001497	Zm00001eb033720, Zm00001eb090080, Zm00001eb090060, Zm00001eb033740	LOC100303958
OG0001498	Zm00001eb033780, Zm00001eb207510, Zm00001eb198500, Zm00001eb123530	LOC100383749
OG0001499	Zm00001eb034770, Zm00001eb161150, Zm00001eb237990, Zm00001eb126480	LOC103641974
OG0001500	Zm00001eb035960	LOC109944120
OG0001500	Zm00001eb174880	LOC103642551, LOC103653189
OG0001501	Zm00001eb314430, Zm00001eb056100, Zm00001eb036080, Zm00001eb409410	LOC100280166
OG0001502	Zm00001eb210840	LOC103627942
OG0001502	Zm00001eb036180, Zm00001eb064410	LOC103644324
OG0001503	Zm00001eb073280	LOC100216931
OG0001503	Zm00001eb036490, Zm00001eb250490	LOC100273727
OG0001504	Zm00001eb148070	LOC100274159
OG0001504	Zm00001eb036520, Zm00001eb367810	LOC103636503
OG0001505	Zm00001eb143080	LOC100272251
OG0001505	Zm00001eb036630, Zm00001eb124790	LOC103649797
OG0001506	Zm00001eb183070, Zm00001eb400910, Zm00001eb036660, Zm00001eb096730	LOC103649090
OG0001507	Zm00001eb241280, Zm00001eb036670	LOC103639412
OG0001507	Zm00001eb399710	LOC103627170
OG0001508	Zm00001eb252050	LOC100282041
OG0001508	Zm00001eb036800, Zm00001eb272440	LOC100285634
OG0001509	Zm00001eb318090, Zm00001eb359900, Zm00001eb037160, Zm00001eb318100	LOC103632851
OG0001510	Zm00001eb180330	LOC100284217
OG0001510	Zm00001eb315200, Zm00001eb038190	LOC100282856
OG0001511	Zm00001eb175860	LOC100279417
OG0001511	Zm00001eb039040	LOC100194065, LOC100283745
OG0001512	Zm00001eb106870, Zm00001eb039260, Zm00001eb324240, Zm00001eb106880	LOC100284154
OG0001513	Zm00001eb039780, Zm00001eb073170, Zm00001eb055660, Zm00001eb360410	LOC103636181
OG0001514	Zm00001eb040020, Zm00001eb429070, Zm00001eb324780, Zm00001eb219170	LOC100280631
OG0001515	Zm00001eb169810	LOC103652928
OG0001515	Zm00001eb201760, Zm00001eb040340	LOC103655903
OG0001516	Zm00001eb040360, Zm00001eb042910, Zm00001eb402190, Zm00001eb092030	LOC103643234
OG0001517	Zm00001eb177230	LOC100382098
OG0001517	Zm00001eb183790, Zm00001eb040510	LOC100279383
OG0001518	Zm00001eb193060, Zm00001eb257030, Zm00001eb257020, Zm00001eb040530	LOC118476987
OG0001520	Zm00001eb177060	LOC100381406
OG0001520	Zm00001eb177070, Zm00001eb040920	LOC103643254
OG0001522	Zm00001eb419110	LOC100281040
OG0001522	Zm00001eb041620, Zm00001eb089800	LOC103646899
OG0001523	Zm00001eb041700	LOC100280958
OG0001523	Zm00001eb244700, Zm00001eb087380	LOC100382222
OG0001524	Zm00001eb195660, Zm00001eb042290, Zm00001eb107060	LOC103643320, LOC103644626
OG0001526	Zm00001eb268630, Zm00001eb324370, Zm00001eb259530, Zm00001eb042840	LOC103631074
OG0001527	Zm00001eb043690	LOC100191269
OG0001527	Zm00001eb427590, Zm00001eb220370	LOC100272839
OG0001529	Zm00001eb279590, Zm00001eb044340, Zm00001eb124220, Zm00001eb265370	LOC103630947
OG0001530	Zm00001eb221130	LOC100280733
OG0001530	Zm00001eb044810	LOC100281487, LOC103643414
OG0001531	Zm00001eb045610, Zm00001eb113020, Zm00001eb224970, Zm00001eb374160	LOC100284769
OG0001532	Zm00001eb221620	LOC100272511
OG0001532	Zm00001eb136480, Zm00001eb045640	LOC100304210
OG0001534	Zm00001eb222330	LOC100192006
OG0001534	Zm00001eb197880, Zm00001eb046700	LOC100501457
OG0001535	Zm00001eb222340	LOC100272640
OG0001535	Zm00001eb402970, Zm00001eb046750	LOC100285919
OG0001536	Zm00001eb272950	LOC103629592
OG0001536	Zm00001eb046770, Zm00001eb226820	LOC100274487
OG0001538	Zm00001eb047310	LOC100274411
OG0001538	Zm00001eb390760, Zm00001eb222690	LOC100383130
OG0001540	Zm00001eb215300	LOC103625902
OG0001540	Zm00001eb056470, Zm00001eb047720	LOC103645598
OG0001541	Zm00001eb332250, Zm00001eb202530, Zm00001eb048240	LOC103643582, LOC103636678
OG0001542	Zm00001eb420370, Zm00001eb048990, Zm00001eb338110, Zm00001eb376080	mbd113
OG0001543	Zm00001eb417680	LOC100278535
OG0001543	Zm00001eb219720, Zm00001eb049010	LOC100274122
OG0001544	Zm00001eb421280, Zm00001eb307610, Zm00001eb049390, Zm00001eb180660	LOC109942894
OG0001545	Zm00001eb219490	LOC100282959
OG0001545	Zm00001eb150930, Zm00001eb049570	LOC542298
OG0001546	Zm00001eb219390	LOC100274701
OG0001546	Zm00001eb246430, Zm00001eb049610	LOC100275579
OG0001547	Zm00001eb049620	LOC103627387
OG0001547	Zm00001eb378590	LOC103652157, LOC100283946
OG0001548	Zm00001eb409110, Zm00001eb305650, Zm00001eb310110, Zm00001eb050610	LOC100382062
OG0001549	Zm00001eb051190, Zm00001eb355000, Zm00001eb066630, Zm00001eb298390	LOC100272954
OG0001550	Zm00001eb051440, Zm00001eb212920	LOC100277098
OG0001550	Zm00001eb145860	LOC100278150
OG0001552	Zm00001eb243720, Zm00001eb420460, Zm00001eb217570, Zm00001eb052230	LOC103627284
OG0001553	Zm00001eb052860	LOC103643787
OG0001553	Zm00001eb222840, Zm00001eb218400	LOC100285193
OG0001555	Zm00001eb053540	LOC103643830
OG0001555	Zm00001eb374340, Zm00001eb217110	LOC103628017
OG0001556	Zm00001eb053940	LOC103643851
OG0001556	Zm00001eb053920, Zm00001eb053960	LOC100280505
OG0001557	Zm00001eb072830, Zm00001eb271040, Zm00001eb393640, Zm00001eb054320	LOC103646023
OG0001558	Zm00001eb334300	LOC103636723
OG0001558	Zm00001eb054870, Zm00001eb089900	LOC118473038
OG0001559	Zm00001eb378780	LOC103639844
OG0001559	Zm00001eb279950, Zm00001eb054940	LOC118476166
OG0001560	Zm00001eb216240	LOC103625947
OG0001560	Zm00001eb055020	LOC100216615, LOC103643901
OG0001561	Zm00001eb245130, Zm00001eb382450, Zm00001eb291570, Zm00001eb055510	LOC118473448
OG0001562	Zm00001eb324340	LOC100501230
OG0001562	Zm00001eb055750, Zm00001eb215790	LOC100384510
OG0001564	Zm00001eb215350	LOC103625904
OG0001564	Zm00001eb264830, Zm00001eb056410	LOC100283626
OG0001565	Zm00001eb056620	LOC103643980
OG0001565	Zm00001eb257840	LOC103645978, LOC100282878
OG0001566	Zm00001eb430590, Zm00001eb299660, Zm00001eb056630, Zm00001eb301290	LOC103642043
OG0001567	Zm00001eb057300	LOC103644011
OG0001567	Zm00001eb213620, Zm00001eb059650	LOC100501392
OG0001568	Zm00001eb214840	LOC542677
OG0001568	Zm00001eb109590, Zm00001eb057410	LOC542031
OG0001569	Zm00001eb262600, Zm00001eb330560, Zm00001eb307380, Zm00001eb058190	LOC103645626
OG0001570	Zm00001eb066500, Zm00001eb058400, Zm00001eb185120, Zm00001eb146870	LOC100279832
OG0001571	Zm00001eb214120	LOC100502377
OG0001571	Zm00001eb058500, Zm00001eb058520	LOC100284377
OG0001572	Zm00001eb058540	LOC109943804
OG0001572	Zm00001eb149540	LOC103645448, LOC100193823
OG0001573	Zm00001eb058980	LOC100280803, LOC100284803, LOC100303896, LOC100282513
OG0001575	Zm00001eb226740	LOC100277669
OG0001575	Zm00001eb059080, Zm00001eb273020	LOC100282175
OG0001576	Zm00001eb059870, Zm00001eb320250, Zm00001eb162900, Zm00001eb398810	LOC109943807
OG0001577	Zm00001eb269620, Zm00001eb060210	LOC103654272
OG0001577	Zm00001eb286410	LOC103630272
OG0001578	Zm00001eb060660	LOC100283434, LOC100216630
OG0001578	Zm00001eb212980	LOC100282793
OG0001580	Zm00001eb060880	LOC541855
OG0001580	Zm00001eb060830	LOC103652427, LOC103644181
OG0001581	Zm00001eb061780	LOC103644218
OG0001581	Zm00001eb231160, Zm00001eb061770	LOC103644217
OG0001582	Zm00001eb404530, Zm00001eb062100, Zm00001eb137560, Zm00001eb271020	LOC109940164
OG0001583	Zm00001eb440730	LOC118474710
OG0001583	Zm00001eb440720, Zm00001eb062170	LOC100170665
OG0001584	Zm00001eb062630	LOC100285414
OG0001584	Zm00001eb292580, Zm00001eb211720	LOC100285222
OG0001585	Zm00001eb328560, Zm00001eb399750, Zm00001eb342820, Zm00001eb063350	LOC100284091
OG0001586	Zm00001eb211150	LOC100382902
OG0001586	Zm00001eb385790, Zm00001eb063690	LOC100285710
OG0001587	Zm00001eb210740	LOC100194026
OG0001587	Zm00001eb313420, Zm00001eb064580	LOC100273405
OG0001588	Zm00001eb308380	LOC103632462
OG0001588	Zm00001eb064610, Zm00001eb094390	LOC100285539
OG0001589	Zm00001eb065010	LOC109939258
OG0001589	Zm00001eb065020, Zm00001eb064990	LOC100273908
OG0001590	Zm00001eb408910, Zm00001eb065050, Zm00001eb065030	LOC103644339, LOC103644338
OG0001591	Zm00001eb065750	LOC100381735
OG0001591	Zm00001eb434040, Zm00001eb201170	LOC103642209
OG0001592	Zm00001eb123170	LOC100283090
OG0001592	Zm00001eb336460, Zm00001eb065820	LOC103655972
OG0001593	Zm00001eb424380	LOC118473590
OG0001593	Zm00001eb066090, Zm00001eb080510	LOC542286
OG0001594	Zm00001eb297920	LOC100501308
OG0001594	Zm00001eb066110, Zm00001eb433820	LOC100193671
OG0001595	Zm00001eb096510	LOC100502065
OG0001595	Zm00001eb066130, Zm00001eb306650	LOC100286200
OG0001596	Zm00001eb433320	LOC100283586
OG0001596	Zm00001eb185870, Zm00001eb066840	LOC100273152
OG0001597	Zm00001eb180790	LOC103653544
OG0001597	Zm00001eb242050, Zm00001eb066930	LOC100193681
OG0001600	Zm00001eb338390, Zm00001eb067780, Zm00001eb117310, Zm00001eb390780	LOC103640222
OG0001601	Zm00001eb067870	LOC103645826
OG0001601	Zm00001eb067840	LOC103645825, LOC103645824
OG0001603	Zm00001eb371040	LOC103636655
OG0001603	Zm00001eb073970, Zm00001eb068360	LOC103648353
OG0001604	Zm00001eb068540	LOC100383211
OG0001604	Zm00001eb432070	LOC109943116, LOC100281500
OG0001605	Zm00001eb094050, Zm00001eb261850, Zm00001eb068870, Zm00001eb163310	LOC103647160
OG0001606	Zm00001eb431860, Zm00001eb303300, Zm00001eb367030, Zm00001eb068990	LOC100384606
OG0001607	Zm00001eb431720	LOC103642098
OG0001607	Zm00001eb415330, Zm00001eb069210	LOC103645883
OG0001608	Zm00001eb070190	LOC103645923
OG0001608	Zm00001eb099560, Zm00001eb431290	LOC101027241
OG0001609	Zm00001eb070750	LOC100277416
OG0001609	Zm00001eb430930	LOC111590598, LOC103642055
OG0001610	Zm00001eb240220	LOC103628601
OG0001610	Zm00001eb337480, Zm00001eb071050	LOC103645954
OG0001612	Zm00001eb430400	LOC109942752
OG0001612	Zm00001eb323250, Zm00001eb071670	LOC103645980
OG0001614	Zm00001eb072510	LOC103646012
OG0001614	Zm00001eb428300	LOC100037760, LOC103641937
OG0001615	Zm00001eb073130	LOC103646038
OG0001615	Zm00001eb381460, Zm00001eb428430	LOC100273177
OG0001616	Zm00001eb428530	LOC100501765
OG0001616	Zm00001eb200690, Zm00001eb073370	LOC103646048
OG0001617	Zm00001eb428670	LOC103641956
OG0001617	Zm00001eb073650	LOC103627541, LOC103646058
OG0001618	Zm00001eb073910, Zm00001eb133740, Zm00001eb254520, Zm00001eb372360	LOC100284670
OG0001619	Zm00001eb429450	LOC100381701
OG0001619	Zm00001eb326550, Zm00001eb074460	LOC100382187
OG0001621	Zm00001eb427780	LOC100216781
OG0001621	Zm00001eb075060	LOC103626258, LOC541976
OG0001622	Zm00001eb075420	LOC103646146
OG0001622	Zm00001eb139590, Zm00001eb427510	LOC103641883
OG0001623	Zm00001eb185680, Zm00001eb248380, Zm00001eb427130, Zm00001eb075900	LOC109939235
OG0001624	Zm00001eb076030	LOC100284589
OG0001624	Zm00001eb434270	LOC103644860, LOC100283376
OG0001625	Zm00001eb076990	LOC100526753
OG0001625	Zm00001eb426890, Zm00001eb426880	LOC103641859
OG0001627	Zm00001eb077170, Zm00001eb185290	LOC103653810
OG0001627	Zm00001eb247720	LOC100194200
OG0001628	Zm00001eb247430	LOC100191554
OG0001628	Zm00001eb077350	LOC100272903, LOC100273369
OG0001629	Zm00001eb265180	LOC103630944
OG0001629	Zm00001eb077720	LOC100383285, LOC110437701
OG0001630	Zm00001eb077880	csu861
OG0001630	Zm00001eb426230	LOC100217152, LOC100193489
OG0001631	Zm00001eb077900	LOC103646242
OG0001631	Zm00001eb262540, Zm00001eb426220	LOC103642826
OG0001632	Zm00001eb110810, Zm00001eb091120, Zm00001eb091130, Zm00001eb078330	LOC100192861
OG0001633	Zm00001eb078350	LOC103646262
OG0001633	Zm00001eb381480, Zm00001eb425860	LOC100382039
OG0001634	Zm00001eb078490	LOC103633651
OG0001634	Zm00001eb425790	LOC103646270, LOC103641806
OG0001635	Zm00001eb079130	LOC103646296
OG0001635	Zm00001eb318850, Zm00001eb425300	LOC103641783
OG0001636	Zm00001eb405660, Zm00001eb105880, Zm00001eb079640, Zm00001eb359970	LOC100275629
OG0001637	Zm00001eb080650, Zm00001eb241240	LOC109939959
OG0001637	Zm00001eb202980	LOC100280151
OG0001638	Zm00001eb081130	LOC100193044, LOC100283132, LOC100285394, LOC100383620
OG0001639	Zm00001eb081190	LOC100304268
OG0001639	Zm00001eb423870	LOC103646373, LOC100280339
OG0001640	Zm00001eb081410	LOC103628484, LOC103645686, LOC103640234, LOC109944169
OG0001641	Zm00001eb320290	LOC103641704
OG0001641	Zm00001eb423570, Zm00001eb081460	LOC100285076
OG0001642	Zm00001eb081670	LOC100285944
OG0001642	Zm00001eb337800, Zm00001eb121810	LOC100280365
OG0001643	Zm00001eb297870	LOC100382313
OG0001643	Zm00001eb081920	LOC103642519, LOC103646403
OG0001644	Zm00001eb095120	LOC103649039
OG0001644	Zm00001eb083900, Zm00001eb082060	LOC542531
OG0001645	Zm00001eb244120	LOC542114
OG0001645	Zm00001eb082120, Zm00001eb423070	LOC100384199
OG0001647	Zm00001eb159350	LOC101027221
OG0001647	Zm00001eb082460, Zm00001eb358720	LOC100285218
OG0001648	Zm00001eb241190, Zm00001eb358490, Zm00001eb083020, Zm00001eb179230	LOC100381672
OG0001650	Zm00001eb422090	LOC100384662
OG0001650	Zm00001eb272900, Zm00001eb083570	LOC103646487
OG0001652	Zm00001eb084430	LOC100193923
OG0001652	Zm00001eb421720, Zm00001eb183800	LOC100279961
OG0001653	Zm00001eb421600	LOC542421
OG0001653	Zm00001eb086450, Zm00001eb084590	LOC100283947
OG0001654	Zm00001eb421500	LOC109944040, LOC100384247
OG0001654	Zm00001eb084730	LOC100280055
OG0001655	Zm00001eb085350	LOC100501122
OG0001655	Zm00001eb421150, Zm00001eb180900	LOC100191440
OG0001656	Zm00001eb085360	LOC100382788
OG0001656	Zm00001eb085400, Zm00001eb421140	LOC100381633
OG0001657	Zm00001eb335590	LOC100279440
OG0001657	Zm00001eb085450, Zm00001eb124810	LOC103649801
OG0001658	Zm00001eb420940	LOC103641579
OG0001658	Zm00001eb241630, Zm00001eb085630	LOC103646589
OG0001659	Zm00001eb237800, Zm00001eb086090, Zm00001eb415340, Zm00001eb199510	LOC103654472
OG0001661	Zm00001eb087200	LOC100285424
OG0001661	Zm00001eb405440, Zm00001eb138940	LOC100274149
OG0001663	Zm00001eb137720	LOC100279254
OG0001663	Zm00001eb087640, Zm00001eb410600	LOC100382503
OG0001664	Zm00001eb305930	LOC100278673
OG0001664	Zm00001eb087910, Zm00001eb415260	LOC103646768
OG0001665	Zm00001eb088290	LOC100193552, LOC103648253
OG0001665	Zm00001eb088280	LOC103648252
OG0001667	Zm00001eb088950	LOC103646858
OG0001667	Zm00001eb098150, Zm00001eb419450	LOC100281570
OG0001668	Zm00001eb271660	LOC100191947
OG0001668	Zm00001eb089510, Zm00001eb375510	LOC100193140
OG0001669	Zm00001eb224110, Zm00001eb259210, Zm00001eb089610, Zm00001eb185170	LOC100193862
OG0001670	Zm00001eb339650, Zm00001eb339640, Zm00001eb089820, Zm00001eb385780	LOC118473092
OG0001671	Zm00001eb317960	LOC109940945
OG0001671	Zm00001eb232080, Zm00001eb089950	LOC100279697
OG0001672	Zm00001eb092170	LOC103647043
OG0001672	Zm00001eb090050, Zm00001eb299240	LOC100275455
OG0001673	Zm00001eb366470	LOC100286146
OG0001673	Zm00001eb146170, Zm00001eb090070	LOC100191532
OG0001674	Zm00001eb105310	LOC100191376
OG0001674	Zm00001eb090100, Zm00001eb321750	LOC100284717
OG0001675	Zm00001eb090370	LOC100191508
OG0001675	Zm00001eb090390, Zm00001eb169310	LOC103652905
OG0001676	Zm00001eb200900	LOC100216607
OG0001676	Zm00001eb180140, Zm00001eb091750	LOC103647023
OG0001677	Zm00001eb202130	LOC100381930
OG0001677	Zm00001eb092180	LOC100382714, LOC100216574
OG0001678	Zm00001eb269600	LOC109944848
OG0001678	Zm00001eb092250, Zm00001eb379190	LOC100284868
OG0001679	Zm00001eb174320, Zm00001eb092970, Zm00001eb286580, Zm00001eb290170	LOC103630466
OG0001680	Zm00001eb092980	LOC100285608, LOC118476367, LOC100278647, LOC100285367
OG0001681	Zm00001eb093070, Zm00001eb124400, Zm00001eb201050, Zm00001eb267170	LOC111590856
OG0001682	Zm00001eb138390	LOC100280988
OG0001682	Zm00001eb093180	LOC103644460, LOC103644591
OG0001683	Zm00001eb405060	LOC103640657
OG0001683	Zm00001eb093200	LOC109946079, LOC103647110
OG0001684	Zm00001eb093460	LOC100217276
OG0001684	Zm00001eb196060, Zm00001eb341320	LOC103654319
OG0001685	Zm00001eb421970	LOC100194079
OG0001685	Zm00001eb195790, Zm00001eb093630	LOC100285858
OG0001686	Zm00001eb195650	LOC100382261
OG0001686	Zm00001eb291030, Zm00001eb093670	LOC100274320
OG0001687	Zm00001eb206190, Zm00001eb302860, Zm00001eb093680, Zm00001eb169000	LOC103654378
OG0001688	Zm00001eb093910	LOC103647150
OG0001688	Zm00001eb195460	LOC100285038, LOC100285728
OG0001689	Zm00001eb329300, Zm00001eb326270, Zm00001eb302530, Zm00001eb094440	LOC103647177
OG0001690	Zm00001eb308750, Zm00001eb308760	LOC103632498
OG0001690	Zm00001eb094550	LOC103647182
OG0001691	Zm00001eb095670	LOC109942886
OG0001691	Zm00001eb239990	LOC103627094, LOC100273352
OG0001692	Zm00001eb386670	LOC100281056
OG0001692	Zm00001eb276190, Zm00001eb096270	LOC103631276
OG0001693	Zm00001eb096480, Zm00001eb096360	LOC100281886
OG0001693	Zm00001eb096430	LOC103647283
OG0001694	Zm00001eb096400	LOC103647285
OG0001694	Zm00001eb096390, Zm00001eb096490	LOC100274532
OG0001695	Zm00001eb096700	LOC100275929
OG0001695	Zm00001eb368290	LOC100303897, LOC100276971
OG0001696	Zm00001eb304290	LOC542732
OG0001696	Zm00001eb096980, Zm00001eb264290	LOC103647314
OG0001697	Zm00001eb098240, Zm00001eb276970	LOC103649123, LOC103642472, LOC109940504
OG0001698	Zm00001eb225760, Zm00001eb098830, Zm00001eb124970, Zm00001eb334700	LOC100383424
OG0001699	Zm00001eb098930, Zm00001eb118670, Zm00001eb098920, Zm00001eb118680	LOC103648599
OG0001700	Zm00001eb311950	LOC100193535
OG0001700	Zm00001eb099120	LOC100275591, LOC100283225
OG0001701	Zm00001eb313740	LOC100194282
OG0001701	Zm00001eb099940	LOC100384243, LOC100383399
OG0001702	Zm00001eb314130	LOC103632819
OG0001702	Zm00001eb100220	LOC100282873, LOC100281181
OG0001703	Zm00001eb314700	LOC100194061
OG0001703	Zm00001eb100530	LOC103645634, LOC100282882
OG0001704	Zm00001eb314900	LOC100191697
OG0001704	Zm00001eb100780	LOC107305676, LOC103647484
OG0001705	Zm00001eb385590	LOC100191516
OG0001705	Zm00001eb100910, Zm00001eb276760	LOC100857097
OG0001706	Zm00001eb164050, Zm00001eb100950, Zm00001eb164060, Zm00001eb228890	LOC100283775
OG0001707	Zm00001eb199490	LOC100286151
OG0001707	Zm00001eb101680, Zm00001eb199470	LOC100286091
OG0001708	Zm00001eb175130, Zm00001eb204520, Zm00001eb418120, Zm00001eb101740	LOC109939382
OG0001709	Zm00001eb101950	LOC100194067
OG0001709	Zm00001eb382110, Zm00001eb150690	LOC103639942
OG0001710	Zm00001eb102090	mbd111
OG0001710	Zm00001eb120500, Zm00001eb317100	mbd108
OG0001711	Zm00001eb102910, Zm00001eb102940	LOC109944063
OG0001711	Zm00001eb151210	LOC100275961
OG0001712	Zm00001eb180760, Zm00001eb227280, Zm00001eb389660, Zm00001eb103600	LOC100284034
OG0001713	Zm00001eb232480, Zm00001eb103810	LOC100383352
OG0001713	Zm00001eb331960	LOC103633625
OG0001714	Zm00001eb104000	LOC103649226, LOC103647631, LOC100281220, LOC103648690
OG0001715	Zm00001eb321170	LOC100194277
OG0001715	Zm00001eb104060	LOC103655778, LOC100285947
OG0001716	Zm00001eb233560, Zm00001eb322230, Zm00001eb352490, Zm00001eb104240	LOC118472285
OG0001717	Zm00001eb415220	LOC103641233
OG0001717	Zm00001eb415210, Zm00001eb104290	LOC100383209
OG0001718	Zm00001eb104770, Zm00001eb236240, Zm00001eb170370, Zm00001eb424050	LOC100383828
